"CRN","ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","DAY_OF_WEEK","DEC_LATITUDE","DEC_LONGITUDE","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECTION_RELATED","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROADWAY_CLEARED","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SECONDARY_CRASH","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOTAL_UNITS","TOT_INJ_COUNT","UNBELTED_OCC_COUNT","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WEATHER1","WEATHER2","WORKERS_PRES","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","WZ_WORKERS_INJ_KILLED"
"2023006520","0903","1","0","0","0","0","0","0","0","0","7","0","","14","1","2023","3","40.999063","-77.645064","0848","2","0","0","0","0","0","0","0","0","","0","0","0","","","0","N","0","","40 59:56.625","1","0","77 38:42.231","0","0","0","0","14214","0","0","0","N","0","0","0","1","68G07","0","","4.0","940.0","2","N","N","N","0","","0","0","0","","0","N","","1","0","0","0","0","0","0","1","0","1","","","","N","","","","","","","","","",""
"2023005373","0710","0","0","0","0","0","0","0","0","0","7","1","","14","1","2023","6","40.987029","-77.813613","0702","2","0","0","0","0","0","0","0","0","","0","1","0","","","0","N","0","","40 59:13.306","3","0","77 48:49.006","0","0","0","0","14202","0","0","0","N","0","0","0","1","68G07","0","","4.0","1200.0","1","N","N","N","0","","0","0","0","","0","N","","1","0","0","0","0","0","0","1","0","1","","","","N","","","","","","","","","",""
"2023005188","1246","1","0","0","0","0","0","0","0","0","0","0","","14","1","2023","2","40.838257","-77.803479","1245","2","0","0","0","0","1","0","0","0","","0","0","0","","","0","N","2","","40 50:17.725","6","0","77 48:12.526","0","0","0","0","14204","0","0","0","N","0","0","0","1","14410","0","","2.0","1341.0","1","N","N","N","0","","0","0","0","","0","N","","1","0","0","0","0","0","0","2","0","1","","03","","N","","","","","","","","","",""
"2023005924","0038","1","0","0","0","0","0","0","0","0","98","0","","14","1","2023","7","40.85255","-77.591074","0038","2","0","0","0","0","0","0","0","0","","0","0","0","","","0","N","0","","40 51:09.181","","0","77 35:27.868","0","0","0","0","14207","0","0","0","N","0","0","0","2","68G07","0","","1.0","","1","N","N","N","0","","0","0","0","","0","","","1","0","0","0","0","0","0","1","0","1","","","","N","","","","","","","","","",""
"2023017160","0020","1","0","0","0","0","0","0","0","0","7","0","","14","2","2023","6","40.973728","-78.061419","2357","2","0","0","0","0","0","0","0","0","","0","0","0","","","0","N","0","","40 58:25.421","","0","78 03:41.107","0","0","0","0","14219","0","0","0","N","0","0","0","1","68G07","0","","4.0","","1","N","N","N","0","","0","0","0","","0","","","1","0","0","0","0","0","0","1","0","1","","03","","N","","","","","","","","","",""
"2023004574","2135","2","0","0","0","0","0","0","0","0","5","0","","14","1","2023","6","40.797591","-77.854743","2135","2","0","0","0","0","1","0","0","0","","0","0","0","","","0","","2","","40 47:51.326","","0","77 51:17.076","0","0","0","0","14410","0","0","0","N","0","0","0","2","14410","0","","1.0","","1","N","N","N","0","","0","0","0","","0","","","2","0","0","0","0","0","0","2","0","2","","03","","N","","","","","","","","","",""
"2023012530","2332","0","1","0","0","0","0","0","0","0","2","1","","14","1","2023","3","40.970211","-78.066314","2320","2","0","0","0","0","0","0","0","1","","1","1","0","","","0","N","0","","40 58:12.759","3","0","78 03:58.732","1","0","0","0","14219","0","0","0","Y","0","0","0","2","68G07","0","2","1.0","228.0","1","N","N","N","0","0","0","0","0","","0","Y","","2","0","0","0","0","0","0","1","1","2","","","","N","","","","","","","","","",""
"2023012024","2056","2","0","0","0","0","0","0","0","0","4","0","","14","2","2023","7","40.785234","-77.837032","2052","2","0","0","0","1","0","0","0","0","","0","0","0","","","0","","1","","40 47:06.844","1","0","77 50:13.316","0","0","0","0","14410","0","0","0","N","0","0","0","3","14410","0","","1.0","2124.0","1","N","N","N","0","","0","0","0","","2","N","","2","0","0","0","0","0","0","2","0","2","","03","","N","","","","","","","","","",""
"2023022230","1624","2","0","0","0","0","0","0","0","0","4","0","","14","3","2023","5","40.79175","-77.85735","1624","2","0","0","0","0","0","0","0","0","","0","0","0","","","0","","1","","40 47:30.299","1","0","77 51:26.459","0","0","0","0","14410","0","0","0","N","0","0","0","2","14410","0","","1.0","1658.0","1","N","N","N","0","","0","0","0","","3","N","","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2023012154","1603","1","0","0","0","0","0","0","0","0","4","0","","14","2","2023","1","40.822225","-77.814066","1600","2","0","0","0","0","0","0","0","0","","0","0","0","","","0","","2","","40 49:20.010","4","0","77 48:50.638","0","0","0","0","14204","0","0","0","N","0","0","0","3","14410","0","","1.0","1650.0","1","N","N","N","0","","0","0","1","","3","N","","2","0","0","0","0","0","0","2","0","2","","03","","N","","","","","","","","","",""
"2023013911","0849","1","0","0","0","0","0","0","0","0","7","0","","14","2","2023","4","40.886978","-77.385834","0816","2","0","0","0","0","0","0","0","0","","0","0","0","","","1","N","0","","40 53:13.122","6","0","77 23:09.003","3","0","0","0","14208","0","0","0","N","0","0","0","1","68G07","0","","4.0","916.0","1","N","N","N","0","","1","0","0","","0","N","","1","1","0","0","0","0","0","1","0","1","","","","N","","","","","","","","","",""
"2023013492","1450","0","0","0","0","0","0","0","0","0","4","0","","14","2","2023","4","40.791805","-77.854202","1450","2","0","0","0","0","0","1","0","0","","0","0","0","","","1","N","1","","40 47:30.497","","0","77 51:15.127","3","0","0","0","14410","0","0","0","N","0","0","0","2","14410","0","","1.0","","1","N","N","N","0","","1","0","1","","3","N","","2","1","0","0","0","0","0","2","1","2","","","","N","","","","","","","","","",""
"2023020294","1507","0","0","0","0","0","0","0","0","0","1","0","","14","3","2023","6","40.829276","-77.805484","1459","2","0","0","0","0","0","1","1","0","","0","0","0","","","0","","2","","40 49:45.394","","0","77 48:19.744","0","0","0","0","14204","0","0","0","N","0","0","0","3","14410","0","","1.0","","9","N","N","N","1","","0","0","1","","2","","","2","0","0","0","0","0","0","2","0","2","","04","","N","","","","","","","","","",""
"2023017642","0910","0","0","0","0","0","0","0","0","0","4","0","","14","2","2023","5","40.791255","-77.853073","0910","2","0","1","0","0","0","1","0","0","","0","0","0","","","1","","1","","40 47:28.518","","0","77 51:11.062","4","0","0","0","14410","0","0","0","N","0","0","0","2","14410","1","","1.0","","1","N","N","N","0","","0","0","2","","3","","","2","1","0","0","0","0","0","2","0","2","","03","","N","","","","","","","","","",""
"2023020661","1709","0","0","0","0","0","0","0","0","0","7","0","","14","3","2023","6","40.90371","-77.434942","1657","2","0","0","0","1","0","0","0","0","","0","0","0","","","1","N","0","","40 54:13.357","4","0","77 26:05.792","3","0","0","0","14208","0","0","0","N","0","0","0","1","68G07","0","","4.0","1739.0","6","N","N","N","0","","1","0","1","","0","Y","","1","1","0","0","0","0","0","1","0","1","","10","","N","","","","","","","","","",""
"2023017914","1115","1","0","0","0","0","0","0","0","0","4","0","","14","2","2023","5","40.772834","-77.890922","1110","2","0","0","0","0","0","2","0","0","","0","0","0","","","0","N","1","","40 46:22.202","","0","77 53:27.319","0","0","0","0","14206","0","0","0","N","0","0","0","2","14206","0","","1.0","","1","N","Y","N","1","","0","0","0","","2","","","2","0","0","0","0","0","0","2","0","2","","03","","N","","","","","","","","","",""
"2023016425","0111","1","0","0","0","0","0","0","0","0","7","0","","14","2","2023","7","40.941817","-77.785521","0111","2","0","0","0","0","0","0","0","0","","0","0","0","","","0","N","0","","40 56:30.541","","0","77 47:07.876","0","0","0","0","14404","0","0","0","Y","0","0","0","1","68G07","0","","4.0","","1","N","N","N","0","","0","0","0","","0","","","1","0","1","0","0","0","0","2","0","1","","","","N","","","","","","","","","",""
"2023020014","1417","1","0","0","0","0","0","0","0","0","8","0","","14","3","2023","5","40.796472","-77.856259","1411","2","0","0","0","0","0","0","0","0","","0","0","0","","","1","N","2","","40 47:47.300","","0","77 51:22.531","3","0","0","0","14410","1","0","0","N","1","0","0","2","14410","0","","1.0","","1","N","N","N","0","","1","0","0","","3","","","2","1","0","0","0","0","1","2","0","1","","","","N","","","","","","","","","",""
"2023021944","0559","0","0","0","0","0","0","0","0","0","1","3","","14","2","2023","6","41.011111","-77.960606","0536","2","0","0","0","0","0","1","0","0","","1","3","0","","","2","N","0","","41 00:40.000","3","0","77 57:38.183","1","0","0","0","14220","0","0","0","N","0","0","0","4","68G07","0","2","1.0","1130.0","9","N","N","N","0","0","2","0","0","","0","Y","","3","2","2","1","0","0","0","1","0","3","","","","N","","","","","","","","","",""
"2023016457","1444","0","0","0","0","0","0","0","0","0","7","0","","14","2","2023","7","40.82426","-77.69003","1438","2","0","0","0","0","0","0","0","0","","0","0","0","","","1","N","0","","40 49:27.337","","0","77 41:24.108","3","0","0","0","14218","0","0","0","N","0","0","0","3","68G07","0","","4.0","","1","N","N","N","0","","1","0","1","","0","","","1","1","0","0","0","0","0","1","0","1","","03","","N","","","","","","","","","",""
"2023021310","0403","1","0","0","0","0","0","0","0","0","1","1","","14","2","2023","2","40.957988","-77.776363","0345","2","0","0","0","0","0","0","0","0","","0","1","0","","","0","N","0","","40 57:28.758","","0","77 46:34.908","0","0","0","0","14202","0","0","0","N","0","0","0","2","68G07","0","","2.0","","1","N","N","N","0","","0","0","0","","0","","","2","0","1","0","0","0","0","1","0","2","","","","N","","","","","","","","","",""
"2023020658","1550","1","0","0","0","0","0","0","0","0","7","0","","14","3","2023","6","40.760048","-77.614229","1531","2","0","0","0","0","0","0","0","0","","0","0","0","","","0","N","0","","40 45:36.173","","0","77 36:51.225","0","0","0","0","14218","0","0","0","N","0","0","0","1","68G07","0","","4.0","","6","N","N","N","0","","0","0","0","","0","","","1","0","0","0","0","0","0","1","0","1","","10","","N","","","","","","","","","",""
"2023001151","2036","1","0","0","0","0","0","0","0","0","4","0","","14","1","2023","3","40.798526","-77.875148","2031","2","0","0","0","0","0","0","0","0","","0","0","0","","","0","","1","","40 47:54.692","","0","77 52:30.533","0","0","0","0","14410","0","0","0","N","0","0","0","2","14410","0","","1.0","","9","N","N","N","0","","0","0","1","","2","","","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2023021993","1313","1","0","0","0","0","0","0","0","0","7","0","","14","3","2023","1","40.829374","-78.113344","1256","2","0","0","0","1","0","0","0","0","","0","0","0","","","0","N","0","","40 49:45.746","","0","78 06:48.038","0","0","0","0","14225","0","0","0","N","0","0","0","1","68G07","0","","2.0","","1","N","N","N","0","","0","0","0","","0","","","1","0","0","0","0","0","0","1","0","1","","","","N","","","","","","","","","",""
"2023025259","0751","1","0","0","0","0","0","0","0","0","7","0","","14","3","2023","2","40.77943","-77.759476","0751","2","0","0","0","0","0","0","0","0","","0","0","0","","","0","","1","","40 46:45.948","","0","77 45:34.112","0","0","0","0","14210","0","0","0","N","0","0","0","1","14410","0","","2.0","","1","N","N","N","0","","0","0","0","","0","","","1","0","0","0","0","0","0","1","0","1","","","","N","","","","","","","","","",""
"2023002012","0738","0","0","0","0","0","0","0","0","0","4","0","","14","1","2023","4","40.95968","-77.763155","0718","2","0","0","0","0","0","1","0","0","","0","0","0","","","1","N","0","","40 57:34.847","","7","77 45:47.357","3","0","0","0","14202","0","0","0","N","0","0","0","2","68G07","0","","1.0","","9","N","N","N","0","","1","0","2","","0","","","2","1","0","0","0","0","0","1","0","2","","","","N","","","","","","","","","",""
"2023016700","1600","0","0","0","0","0","0","0","0","0","1","0","","14","2","2023","2","40.778616","-77.793184","1548","2","0","0","0","0","0","2","0","0","","0","0","0","","","0","","1","","40 46:43.019","","0","77 47:35.463","0","0","0","0","14210","0","0","0","N","0","0","0","2","14410","0","","1.0","","1","N","N","N","0","","0","0","1","","2","N","","2","0","0","0","0","0","0","2","1","2","","","","N","","","","","","","","","",""
"2023019998","1311","1","0","0","0","0","0","0","0","0","4","0","","14","3","2023","5","40.78712","-77.861511","1308","2","0","0","0","0","0","1","0","0","","0","0","0","","","0","N","1","","40 47:13.631","","0","77 51:41.439","0","0","0","0","14410","0","0","0","N","0","0","0","4","14410","0","","1.0","","1","N","N","N","0","","0","0","1","","3","","","2","0","0","0","0","0","0","2","0","2","","03","","N","","","","","","","","","",""
"2023021815","2125","1","0","0","0","0","0","0","0","0","7","0","","14","3","2023","6","40.969478","-78.077274","2121","2","0","0","0","0","0","0","0","0","","0","0","0","","","0","N","0","","40 58:10.119","3","0","78 04:38.185","0","0","0","0","14219","0","0","0","Y","0","0","0","1","68G07","0","","2.0","2140.0","9","N","N","N","0","","0","0","0","","0","N","","1","0","0","0","0","0","0","1","0","1","","","","N","","","","","","","","","",""
"2023016734","1727","1","0","0","0","0","0","0","0","0","4","0","","14","2","2023","3","40.865514","-77.938961","1706","2","1","0","0","0","0","1","0","0","","0","0","0","","","0","","1","","40 51:55.852","5","0","77 56:20.261","0","0","0","0","14212","0","0","0","N","0","0","0","2","68G07","0","","1.0","100.0","1","N","N","Y","2","","0","0","0","","3","Y","","4","0","0","0","0","0","0","1","1","4","","","","N","","","","","","","","","",""
"2023021973","0802","0","0","0","0","0","0","0","0","0","7","0","","14","3","2023","4","40.854092","-78.012694","0746","2","0","0","0","0","0","0","0","0","","0","0","0","","","1","N","0","","40 51:14.730","1","0","78 00:45.700","3","0","0","0","14212","0","0","0","N","0","0","0","1","68G07","0","","4.0","839.0","2","N","N","N","0","","1","0","1","","0","Y","","1","1","0","0","0","0","0","1","0","1","","","","N","","","","","","","","","",""
